type,style,maker,bottle_label,proof,easily_replaceable,country_of_origin,main_distillate
Whisk(e)y,Bourbon,Oregon Spirit Distillers,C.W. Irwin,,N,,corn
Whisk(e)y,Bourbon,OYO,Michelone Reserve,,,,corn
Whisk(e)y,Bourbon,Evan Williams,Single Barrel Vintage,,,,corn
Whisk(e)y,Rye,Wigle,Deep Cut,,,,rye
Whisk(e)y,Bourbon,E.H. Taylor,Bottled in Bond,,,,corn
Liqueur,Curacao,Marie Brizard,Orange,,,,
Brandy,Cognac,Bacchus,Kazakhstan Cognac Three Stars,,N,Kazakhstan,
Bitters,Amaro,Campari,Cynar,,,,
Liqueur,Herbal,Pimm's,No. 1 Cup,,,,
Brandy,Pisco,Barsol,Quebranta,,,Peru,grape
Brandy,Armagnac,Marie Duffau,Napoleon,,,,
Whisk(e)y,Bourbon,Heaven Hill,John E. Fitzgerald Larceny ,,,,corn
Liqueur,Amaro,Luxardo,Abano,,N,,
Liqueur,Amaro,Luxardo,Fernet,,N,,
Liqueur,Amaro,Zucca,Rabarbaro,,N,,
Liqueur,Amaro,Peloni,Braulio,,N,,
Liqueur,Amaro,Montenegro,Amaro Montenegro,,N,,
Liqueur,Amaro,,S. Maria al Monte,,N,,
Liqueur,Amaro,Paolucci,Amaro CioCiaro,,N,,
Liqueur,Genepy,Guillaumette,L'authentique Genepi,,N,France,
